fname,lname,email,upassword
Department of ,Electronic Science,Electronic Science,12345
Department of ,Instrumentation Science,Instrumentation Science,12345
Department of ,Mathematics,Mathematics,12345
Department of ,Environmental Sciences,Environmental Sciences,12345
Department of ,Zoology,Zoology,12345
Department of ,Biotechnology,Biotechnology,12345
Department of ,Geography,Geography,12345
Department of ,Geology,Geology,12345
Department of ,Physics,Physics,12345
Department of ,Chemistry,Chemistry,12345
Department of ,Botany,Botany,12345
Department of ,Atmospheric and Space Sciences,Atmospheric and Space Sciences,12345
Department of ,Statistics,Statistics,12345
Department of ,Computer Science,Computer Science,12345
Department of ,Media and Communication Studies,Media and Communication Studies,12345
Department of ,Microbiology,Microbiology,12345
Department of ,Interdisciplinary School of Health Sciences,Interdisciplinary School of Health Sciences,12345
Department of ,School of Energy Studies,School of Energy Studies,12345
Department of ,Interdisciplinary School of Scientific Computing,Interdisciplinary School of Scientific Computing,12345
Department of ,Institute of Bioinformatics Biotechnology IBB,Institute of Bioinformatics Biotechnology IBB,12345
Department of ,Bioinformatics Centre,Bioinformatics Centre,12345
Department of ,Centre for Information and Network Security CINS,Centre for Information and Network Security CINS,12345
Department of ,Centre for Modeling and Simulation,Centre for Modeling and Simulation,12345
Department of ,School of Basic Medical Sciences,School of Basic Medical Sciences,12345
Department of ,Technology,Technology,12345
Department of ,Commerce and Management,Commerce and Management,12345
Department of ,Commerce & Research Centre,Commerce & Research Centre,12345
Department of ,Management Science,Management Science,12345
Department of ,Marathi,Marathi,12345
Department of ,Hindi,Hindi,12345
Department of ,English,English,12345
Department of ,and Prakrit Languages,and Prakrit Languages,12345
Department of , Pali, Pali,12345
Department of ,Dr. Department of Babasaheb Ambedkar Studies,Dr. Department of Babasaheb Ambedkar Studies,12345
Department of ,Centre for Advanced Studies in Sanskrit,Centre for Advanced Studies in Sanskrit,12345
Department of ,Economics,Economics,12345
Department of ,History,History,12345
Department of , Philosophy, Philosophy,12345
Department of ,Anthropology,Anthropology,12345
Department of ,Psychology,Psychology,12345
Department of , Politics and Public Administration, Politics and Public Administration,12345
Department of ,Sociology,Sociology,12345
Department of ,Defence & Strategic Studies,Defence & Strategic Studies,12345
Department of ,Interdisciplinary School ,Interdisciplinary School ,12345
Department of ,Krantijyoti Savitribai Phule Women's Studies Centre,Krantijyoti Savitribai Phule Women's Studies Centre,12345
Department of ,Lifelong Learning & Extension,Lifelong Learning & Extension,12345
Department of ,Law,Law,12345
